P3,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P58,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P123,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P292,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P315,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P357,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P370,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P404,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P443,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P708,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P714,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P730,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P782,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P790,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P813,[0 - 32],[0 - 34],[0 - 38],[0 - 41],[0 - 24],[0 - 29],[0 - 34],[0 - 47],[0 - 41],[0 - 42],[0 - 28],[0 - 35],[0 - 26],[0 - 32],[0 - 36],[0 - 41],[0 - 35],[0 - 30],[0 - 47],[0 - 20],[0 - 28],[0 - 48],[0 - 43],[0 - 43],[0 - 42],[0 - 27],[0 - 21],[0 - 24],[0 - 25],[0 - 40],[0 - 38],[0 - 31],[0 - 29],[0 - 29],[0 - 33],[0 - 35],[0 - 33],[0 - 27],[0 - 28],[0 - 25],[0 - 35],[0 - 29],[0 - 33],[0 - 31],[0 - 28],[0 - 34],[0 - 38],[0 - 38],[0 - 31],[0 - 38],[0 - 31],[0 - 31],Group 0,babaa
P5,[2 - 42],[4 - 43],[2 - 42],[3 - 45],[5 - 54],[7 - 44],[3 - 43],[7 - 47],[6 - 43],[3 - 48],[2 - 56],[3 - 43],[6 - 47],[4 - 45],[7 - 56],[1 - 53],[4 - 62],[6 - 60],[6 - 54],[4 - 48],[4 - 61],[2 - 51],[3 - 47],[3 - 46],[6 - 40],[3 - 35],[1 - 31],[5 - 41],[5 - 36],[3 - 37],[0 - 41],[2 - 34],[5 - 39],[4 - 44],[1 - 46],[4 - 39],[1 - 42],[1 - 35],[2 - 42],[0 - 38],[2 - 41],[2 - 44],[2 - 52],[3 - 49],[4 - 43],[2 - 37],[0 - 42],[2 - 43],[1 - 42],[3 - 37],[5 - 34],[4 - 38],Group 1,bcbab
P39,[2 - 42],[4 - 43],[2 - 42],[3 - 45],[5 - 54],[7 - 44],[3 - 43],[7 - 47],[6 - 43],[3 - 48],[2 - 56],[3 - 43],[6 - 47],[4 - 45],[7 - 56],[1 - 53],[4 - 62],[6 - 60],[6 - 54],[4 - 48],[4 - 61],[2 - 51],[3 - 47],[3 - 46],[6 - 40],[3 - 35],[1 - 31],[5 - 41],[5 - 36],[3 - 37],[0 - 41],[2 - 34],[5 - 39],[4 - 44],[1 - 46],[4 - 39],[1 - 42],[1 - 35],[2 - 42],[0 - 38],[2 - 41],[2 - 44],[2 - 52],[3 - 49],[4 - 43],[2 - 37],[0 - 42],[2 - 43],[1 - 42],[3 - 37],[5 - 34],[4 - 38],Group 1,bcbab
P42,[2 - 42],[4 - 43],[2 - 42],[3 - 45],[5 - 54],[7 - 44],[3 - 43],[7 - 47],[6 - 43],[3 - 48],[2 - 56],[3 - 43],[6 - 47],[4 - 45],[7 - 56],[1 - 53],[4 - 62],[6 - 60],[6 - 54],[4 - 48],[4 - 61],[2 - 51],[3 - 47],[3 - 46],[6 - 40],[3 - 35],[1 - 31],[5 - 41],[5 - 36],[3 - 37],[0 - 41],[2 - 34],[5 - 39],[4 - 44],[1 - 46],[4 - 39],[1 - 42],[1 - 35],[2 - 42],[0 - 38],[2 - 41],[2 - 44],[2 - 52],[3 - 49],[4 - 43],[2 - 37],[0 - 42],[2 - 43],[1 - 42],[3 - 37],[5 - 34],[4 - 38],Group 1,bcbab
